CancerType,ENSG,cMDT,GeneName,Count,Total,Frequency
Ovary.Ovary-AdenoCA,ENSG00000136603,ENST00000426052,SKIL,1,110,0.01
Ovary.Ovary-AdenoCA,ENSG00000136448,ENST00000543908,NMT1,1,110,0.01
Ovary.Ovary-AdenoCA,ENSG00000136367,ENST00000412565,ZFHX2,1,110,0.01
Ovary.Ovary-AdenoCA,ENSG00000136160,ENST00000377211,EDNRB,1,110,0.01
Ovary.Ovary-AdenoCA,ENSG00000135968,ENST00000462897,GCC2,1,110,0.01
Ovary.Ovary-AdenoCA,ENSG00000135968,ENST00000409896,GCC2,1,110,0.01
Ovary.Ovary-AdenoCA,ENSG00000135318,ENST00000416334,NT5E,1,110,0.01
Ovary.Ovary-AdenoCA,ENSG00000134982,ENST00000504915,APC,1,110,0.01
Ovary.Ovary-AdenoCA,ENSG00000134333,ENST00000396222,LDHA,1,110,0.01
Ovary.Ovary-AdenoCA,ENSG00000134318,ENST00000401753,ROCK2,1,110,0.01
Ovary.Ovary-AdenoCA,ENSG00000134146,ENST00000558266,DPH6,1,110,0.01
Ovary.Ovary-AdenoCA,ENSG00000134042,ENST00000431965,MRO,1,110,0.01
Ovary.Ovary-AdenoCA,ENSG00000133962,ENST00000256343,CATSPERB,1,110,0.01
Ovary.Ovary-AdenoCA,ENSG00000133561,ENST00000493969,GIMAP6,1,110,0.01
Ovary.Ovary-AdenoCA,ENSG00000133121,ENST00000255486,STARD13,1,110,0.01
Ovary.Ovary-AdenoCA,ENSG00000133026,ENST00000360416,MYH10,1,110,0.01
Ovary.Ovary-AdenoCA,ENSG00000132879,ENST00000475435,FBXO44,1,110,0.01
Ovary.Ovary-AdenoCA,ENSG00000132879,ENST00000251547,FBXO44,1,110,0.01
Ovary.Ovary-AdenoCA,ENSG00000132549,ENST00000355155,VPS13B,1,110,0.01
Ovary.Ovary-AdenoCA,ENSG00000132386,ENST00000577053,SERPINF1,1,110,0.01
Ovary.Ovary-AdenoCA,ENSG00000131149,ENST00000405402,GSE1,1,110,0.01
Ovary.Ovary-AdenoCA,ENSG00000130818,ENST00000589289,ZNF426,1,110,0.01
Ovary.Ovary-AdenoCA,ENSG00000130810,ENST00000444703,PPAN,1,110,0.01
Ovary.Ovary-AdenoCA,ENSG00000130770,ENST00000465645,ATPIF1,1,110,0.01
Ovary.Ovary-AdenoCA,ENSG00000130758,ENST00000593502,MAP3K10,1,110,0.01
Ovary.Ovary-AdenoCA,ENSG00000130638,ENST00000402380,ATXN10,1,110,0.01
Ovary.Ovary-AdenoCA,ENSG00000130528,ENST00000598858,HRC,1,110,0.01
Ovary.Ovary-AdenoCA,ENSG00000130176,ENST00000592923,CNN1,1,110,0.01
Ovary.Ovary-AdenoCA,ENSG00000130023,ENST00000588451,ERMARD,1,110,0.01
Ovary.Ovary-AdenoCA,ENSG00000129451,ENST00000601467,KLK10,1,110,0.01
Ovary.Ovary-AdenoCA,ENSG00000129450,ENST00000440804,SIGLEC9,1,110,0.01
Ovary.Ovary-AdenoCA,ENSG00000128881,ENST00000567840,TTBK2,1,110,0.01
Ovary.Ovary-AdenoCA,ENSG00000128253,ENST00000248983,RFPL2,1,110,0.01
Ovary.Ovary-AdenoCA,ENSG00000127311,ENST00000440906,HELB,1,110,0.01
Ovary.Ovary-AdenoCA,ENSG00000127022,ENST00000415618,CANX,1,110,0.01
Ovary.Ovary-AdenoCA,ENSG00000126733,ENST00000510272,DACH2,1,110,0.01
Ovary.Ovary-AdenoCA,ENSG00000126733,ENST00000373125,DACH2,1,110,0.01
Ovary.Ovary-AdenoCA,ENSG00000126214,ENST00000557450,KLC1,1,110,0.01
Ovary.Ovary-AdenoCA,ENSG00000124613,ENST00000461521,ZNF391,1,110,0.01
Ovary.Ovary-AdenoCA,ENSG00000124171,ENST00000396039,PARD6B,1,110,0.01
Ovary.Ovary-AdenoCA,ENSG00000123106,ENST00000536442,CCDC91,1,110,0.01
Ovary.Ovary-AdenoCA,ENSG00000123106,ENST00000536154,CCDC91,1,110,0.01
Ovary.Ovary-AdenoCA,ENSG00000122877,ENST00000411732,EGR2,1,110,0.01
Ovary.Ovary-AdenoCA,ENSG00000122786,ENST00000436461,CALD1,1,110,0.01
Ovary.Ovary-AdenoCA,ENSG00000122591,ENST00000409923,FAM126A,1,110,0.01
Ovary.Ovary-AdenoCA,ENSG00000122477,ENST00000370138,LRRC39,1,110,0.01
Ovary.Ovary-AdenoCA,ENSG00000122068,ENST00000241502,FYTTD1,1,110,0.01
Ovary.Ovary-AdenoCA,ENSG00000121486,ENST00000367504,TRMT1L,1,110,0.01
Ovary.Ovary-AdenoCA,ENSG00000121281,ENST00000566761,ADCY7,1,110,0.01
Ovary.Ovary-AdenoCA,ENSG00000121057,ENST00000481416,AKAP1,1,110,0.01
Ovary.Ovary-AdenoCA,ENSG00000120756,ENST00000497002,PLS1,1,110,0.01
Ovary.Ovary-AdenoCA,ENSG00000120647,ENST00000535052,CCDC77,1,110,0.01
Ovary.Ovary-AdenoCA,ENSG00000120088,ENST00000398285,CRHR1,1,110,0.01
Ovary.Ovary-AdenoCA,ENSG00000119698,ENST00000328839,PPP4R4,1,110,0.01
Ovary.Ovary-AdenoCA,ENSG00000118620,ENST00000595401,ZNF430,1,110,0.01
Ovary.Ovary-AdenoCA,ENSG00000118292,ENST00000369098,C1orf54,1,110,0.01
Ovary.Ovary-AdenoCA,ENSG00000118263,ENST00000457962,KLF7,1,110,0.01
Ovary.Ovary-AdenoCA,ENSG00000118260,ENST00000455757,CREB1,1,110,0.01
Ovary.Ovary-AdenoCA,ENSG00000118257,ENST00000417189,NRP2,1,110,0.01
Ovary.Ovary-AdenoCA,ENSG00000117620,ENST00000370153,SLC35A3,1,110,0.01
Ovary.Ovary-AdenoCA,ENSG00000117528,ENST00000315713,ABCD3,1,110,0.01
Ovary.Ovary-AdenoCA,ENSG00000116539,ENST00000548830,ASH1L,1,110,0.01
Ovary.Ovary-AdenoCA,ENSG00000116198,ENST00000438539,CEP104,1,110,0.01
Ovary.Ovary-AdenoCA,ENSG00000116127,ENST00000423048,ALMS1,1,110,0.01
Ovary.Ovary-AdenoCA,ENSG00000116117,ENST00000358768,PARD3B,1,110,0.01
Ovary.Ovary-AdenoCA,ENSG00000115904,ENST00000395038,SOS1,1,110,0.01
Ovary.Ovary-AdenoCA,ENSG00000115839,ENST00000425393,RAB3GAP1,1,110,0.01
Ovary.Ovary-AdenoCA,ENSG00000115677,ENST00000427183,HDLBP,1,110,0.01
Ovary.Ovary-AdenoCA,ENSG00000115252,ENST00000331935,PDE1A,1,110,0.01
Ovary.Ovary-AdenoCA,ENSG00000113742,ENST00000265085,CPEB4,1,110,0.01
Ovary.Ovary-AdenoCA,ENSG00000113240,ENST00000521621,CLK4,1,110,0.01
Ovary.Ovary-AdenoCA,ENSG00000113161,ENST00000343975,HMGCR,1,110,0.01
Ovary.Ovary-AdenoCA,ENSG00000112837,ENST00000606784,TBX18,1,110,0.01
Ovary.Ovary-AdenoCA,ENSG00000112562,ENST00000354536,SMOC2,1,110,0.01
Ovary.Ovary-AdenoCA,ENSG00000112419,ENST00000440869,PHACTR2,1,110,0.01
Ovary.Ovary-AdenoCA,ENSG00000112419,ENST00000367584,PHACTR2,1,110,0.01
Ovary.Ovary-AdenoCA,ENSG00000112297,ENST00000457437,AIM1,1,110,0.01
Ovary.Ovary-AdenoCA,ENSG00000112249,ENST00000369143,ASCC3,1,110,0.01
Ovary.Ovary-AdenoCA,ENSG00000112038,ENST00000330432,OPRM1,1,110,0.01
Ovary.Ovary-AdenoCA,ENSG00000111729,ENST00000360500,CLEC4A,1,110,0.01
Ovary.Ovary-AdenoCA,ENSG00000111711,ENST00000540141,GOLT1B,1,110,0.01
Ovary.Ovary-AdenoCA,ENSG00000111404,ENST00000229002,RERGL,1,110,0.01
Ovary.Ovary-AdenoCA,ENSG00000111271,ENST00000455480,ACAD10,1,110,0.01
Ovary.Ovary-AdenoCA,ENSG00000111215,ENST00000544994,PRR4,1,110,0.01
Ovary.Ovary-AdenoCA,ENSG00000110925,ENST00000552899,CSRNP2,1,110,0.01
Ovary.Ovary-AdenoCA,ENSG00000110841,ENST00000545381,PPFIBP1,1,110,0.01
Ovary.Ovary-AdenoCA,ENSG00000110777,ENST00000531398,POU2AF1,1,110,0.01
Ovary.Ovary-AdenoCA,ENSG00000109906,ENST00000544220,ZBTB16,1,110,0.01
Ovary.Ovary-AdenoCA,ENSG00000109572,ENST00000511092,CLCN3,1,110,0.01
Ovary.Ovary-AdenoCA,ENSG00000109572,ENST00000347613,CLCN3,1,110,0.01
Ovary.Ovary-AdenoCA,ENSG00000109452,ENST00000509777,INPP4B,1,110,0.01
Ovary.Ovary-AdenoCA,ENSG00000108826,ENST00000508200,MRPL27,1,110,0.01
Ovary.Ovary-AdenoCA,ENSG00000108798,ENST00000571035,ABI3,1,110,0.01
Ovary.Ovary-AdenoCA,ENSG00000108395,ENST00000376149,TRIM37,1,110,0.01
Ovary.Ovary-AdenoCA,ENSG00000108384,ENST00000584804,RAD51C,1,110,0.01
Ovary.Ovary-AdenoCA,ENSG00000108384,ENST00000482007,RAD51C,1,110,0.01
Ovary.Ovary-AdenoCA,ENSG00000108309,ENST00000590941,RUNDC3A,1,110,0.01
Ovary.Ovary-AdenoCA,ENSG00000107651,ENST00000543134,SEC23IP,1,110,0.01
Ovary.Ovary-AdenoCA,ENSG00000107560,ENST00000369199,RAB11FIP2,1,110,0.01
Ovary.Ovary-AdenoCA,ENSG00000107147,ENST00000263604,KCNT1,1,110,0.01
Ovary.Ovary-AdenoCA,ENSG00000106524,ENST00000447802,ANKMY2,1,110,0.01
Ovary.Ovary-AdenoCA,ENSG00000106336,ENST00000488079,FBXO24,1,110,0.01
Ovary.Ovary-AdenoCA,ENSG00000106086,ENST00000449726,PLEKHA8,1,110,0.01
Ovary.Ovary-AdenoCA,ENSG00000106069,ENST00000439384,CHN2,1,110,0.01
Ovary.Ovary-AdenoCA,ENSG00000105221,ENST00000491778,AKT2,1,110,0.01
Ovary.Ovary-AdenoCA,ENSG00000105221,ENST00000391844,AKT2,1,110,0.01
Ovary.Ovary-AdenoCA,ENSG00000105072,ENST00000594035,C19orf44,1,110,0.01
Ovary.Ovary-AdenoCA,ENSG00000104915,ENST00000591843,STX10,1,110,0.01
Ovary.Ovary-AdenoCA,ENSG00000104915,ENST00000242770,STX10,1,110,0.01
Ovary.Ovary-AdenoCA,ENSG00000104450,ENST00000520643,SPAG1,1,110,0.01
Ovary.Ovary-AdenoCA,ENSG00000104324,ENST00000519900,CPQ,1,110,0.01
Ovary.Ovary-AdenoCA,ENSG00000103994,ENST00000567041,ZNF106,1,110,0.01
Ovary.Ovary-AdenoCA,ENSG00000103363,ENST00000494946,TCEB2,1,110,0.01
Ovary.Ovary-AdenoCA,ENSG00000103174,ENST00000381955,NAGPA,1,110,0.01
Ovary.Ovary-AdenoCA,ENSG00000102882,ENST00000322266,MAPK3,1,110,0.01
Ovary.Ovary-AdenoCA,ENSG00000102081,ENST00000370471,FMR1,1,110,0.01
Ovary.Ovary-AdenoCA,ENSG00000101452,ENST00000373325,DHX35,1,110,0.01
Ovary.Ovary-AdenoCA,ENSG00000100938,ENST00000558748,GMPR2,1,110,0.01
Ovary.Ovary-AdenoCA,ENSG00000100721,ENST00000556450,TCL1A,1,110,0.01
Ovary.Ovary-AdenoCA,ENSG00000100284,ENST00000425375,TOM1,1,110,0.01
Ovary.Ovary-AdenoCA,ENSG00000100139,ENST00000445494,MICALL1,1,110,0.01
Ovary.Ovary-AdenoCA,ENSG00000100023,ENST00000335025,PPIL2,1,110,0.01
Ovary.Ovary-AdenoCA,ENSG00000099954,ENST00000342247,CECR2,1,110,0.01
Ovary.Ovary-AdenoCA,ENSG00000099622,ENST00000586636,CIRBP,1,110,0.01
Ovary.Ovary-AdenoCA,ENSG00000097007,ENST00000393293,ABL1,1,110,0.01
Ovary.Ovary-AdenoCA,ENSG00000096063,ENST00000373825,SRPK1,1,110,0.01
Ovary.Ovary-AdenoCA,ENSG00000093144,ENST00000368291,ECHDC1,1,110,0.01
Ovary.Ovary-AdenoCA,ENSG00000092096,ENST00000206544,SLC22A17,1,110,0.01
Ovary.Ovary-AdenoCA,ENSG00000091536,ENST00000578575,MYO15A,1,110,0.01
Ovary.Ovary-AdenoCA,ENSG00000091436,ENST00000431503,MLTK,1,110,0.01
Ovary.Ovary-AdenoCA,ENSG00000091127,ENST00000481939,PUS7,1,110,0.01
Ovary.Ovary-AdenoCA,ENSG00000090060,ENST00000553461,PAPOLA,1,110,0.01
Ovary.Ovary-AdenoCA,ENSG00000089916,ENST00000557263,GPATCH2L,1,110,0.01
Ovary.Ovary-AdenoCA,ENSG00000089505,ENST00000533915,CMTM1,1,110,0.01
Ovary.Ovary-AdenoCA,ENSG00000089505,ENST00000528484,CMTM1,1,110,0.01
Ovary.Ovary-AdenoCA,ENSG00000089177,ENST00000378003,KIF16B,1,110,0.01
Ovary.Ovary-AdenoCA,ENSG00000089127,ENST00000452357,OAS1,1,110,0.01
Ovary.Ovary-AdenoCA,ENSG00000089101,ENST00000431753,C20orf26,1,110,0.01
Ovary.Ovary-AdenoCA,ENSG00000087495,ENST00000355648,PHACTR3,1,110,0.01
Ovary.Ovary-AdenoCA,ENSG00000086758,ENST00000427052,HUWE1,1,110,0.01
Ovary.Ovary-AdenoCA,ENSG00000086475,ENST00000537130,SEPHS1,1,110,0.01
Ovary.Ovary-AdenoCA,ENSG00000083814,ENST00000600125,ZNF671,1,110,0.01
Ovary.Ovary-AdenoCA,ENSG00000083799,ENST00000568704,CYLD,1,110,0.01
Ovary.Ovary-AdenoCA,ENSG00000083720,ENST00000509987,OXCT1,1,110,0.01
Ovary.Ovary-AdenoCA,ENSG00000082641,ENST00000362042,NFE2L1,1,110,0.01
Ovary.Ovary-AdenoCA,ENSG00000082482,ENST00000486921,KCNK2,1,110,0.01
Ovary.Ovary-AdenoCA,ENSG00000080608,ENST00000490444,KIAA0020,1,110,0.01
Ovary.Ovary-AdenoCA,ENSG00000080345,ENST00000428287,RIF1,1,110,0.01
Ovary.Ovary-AdenoCA,ENSG00000080298,ENST00000449190,RFX3,1,110,0.01
Ovary.Ovary-AdenoCA,ENSG00000079335,ENST00000370125,CDC14A,1,110,0.01
Ovary.Ovary-AdenoCA,ENSG00000079156,ENST00000392505,OSBPL6,1,110,0.01
Ovary.Ovary-AdenoCA,ENSG00000078699,ENST00000375279,CBFA2T2,1,110,0.01
Ovary.Ovary-AdenoCA,ENSG00000075188,ENST00000547269,NUP37,1,110,0.01
Ovary.Ovary-AdenoCA,ENSG00000074047,ENST00000418323,GLI2,1,110,0.01
Ovary.Ovary-AdenoCA,ENSG00000073282,ENST00000382063,TP63,1,110,0.01
Ovary.Ovary-AdenoCA,ENSG00000073150,ENST00000159647,PANX2,1,110,0.01
Ovary.Ovary-AdenoCA,ENSG00000073060,ENST00000339570,SCARB1,1,110,0.01
Ovary.Ovary-AdenoCA,ENSG00000072501,ENST00000463684,SMC1A,1,110,0.01
Ovary.Ovary-AdenoCA,ENSG00000072133,ENST00000543399,RPS6KA6,1,110,0.01
Ovary.Ovary-AdenoCA,ENSG00000070950,ENST00000418463,RAD18,1,110,0.01
Ovary.Ovary-AdenoCA,ENSG00000070193,ENST00000513107,FGF10,1,110,0.01
Ovary.Ovary-AdenoCA,ENSG00000069869,ENST00000502612,NEDD4,1,110,0.01
Ovary.Ovary-AdenoCA,ENSG00000068650,ENST00000418678,ATP11A,1,110,0.01
Ovary.Ovary-AdenoCA,ENSG00000067141,ENST00000261908,NEO1,1,110,0.01
Ovary.Ovary-AdenoCA,ENSG00000064225,ENST00000497621,ST3GAL6,1,110,0.01
Ovary.Ovary-AdenoCA,ENSG00000064042,ENST00000512820,LIMCH1,1,110,0.01
Ovary.Ovary-AdenoCA,ENSG00000063438,ENST00000504625,AHRR,1,110,0.01
Ovary.Ovary-AdenoCA,ENSG00000062038,ENST00000568292,CDH3,1,110,0.01
Ovary.Ovary-AdenoCA,ENSG00000060709,ENST00000536002,RIMBP2,1,110,0.01
Ovary.Ovary-AdenoCA,ENSG00000060237,ENST00000315939,WNK1,1,110,0.01
Ovary.Ovary-AdenoCA,ENSG00000058600,ENST00000418581,POLR3E,1,110,0.01
Ovary.Ovary-AdenoCA,ENSG00000058056,ENST00000496897,USP13,1,110,0.01
Ovary.Ovary-AdenoCA,ENSG00000054267,ENST00000421364,ARID4B,1,110,0.01
Ovary.Ovary-AdenoCA,ENSG00000053770,ENST00000556377,AP5M1,1,110,0.01
Ovary.Ovary-AdenoCA,ENSG00000049167,ENST00000439176,ERCC8,1,110,0.01
Ovary.Ovary-AdenoCA,ENSG00000049130,ENST00000552044,KITLG,1,110,0.01
Ovary.Ovary-AdenoCA,ENSG00000047648,ENST00000534860,ARHGAP6,1,110,0.01
Ovary.Ovary-AdenoCA,ENSG00000041515,ENST00000457511,MYO16,1,110,0.01
Ovary.Ovary-AdenoCA,ENSG00000036054,ENST00000475134,TBC1D23,1,110,0.01
Ovary.Ovary-AdenoCA,ENSG00000033867,ENST00000457377,SLC4A7,1,110,0.01
Ovary.Ovary-AdenoCA,ENSG00000031003,ENST00000425075,FAM13B,1,110,0.01
Ovary.Ovary-AdenoCA,ENSG00000029725,ENST00000341923,RABEP1,1,110,0.01
Ovary.Ovary-AdenoCA,ENSG00000021574,ENST00000345662,SPAST,1,110,0.01
Ovary.Ovary-AdenoCA,ENSG00000015520,ENST00000423141,NPC1L1,1,110,0.01
Ovary.Ovary-AdenoCA,ENSG00000013288,ENST00000505907,MAN2B2,1,110,0.01
Ovary.Ovary-AdenoCA,ENSG00000012048,ENST00000354071,BRCA1,1,110,0.01
Ovary.Ovary-AdenoCA,ENSG00000011114,ENST00000298896,BTBD7,1,110,0.01
Ovary.Ovary-AdenoCA,ENSG00000006837,ENST00000435211,CDKL3,1,110,0.01
Ovary.Ovary-AdenoCA,ENSG00000006459,ENST00000006967,KDM7A,1,110,0.01
Ovary.Ovary-AdenoCA,ENSG00000006118,ENST00000540112,TMEM132A,1,110,0.01
Ovary.Ovary-AdenoCA,ENSG00000005483,ENST00000479838,KMT2E,1,110,0.01
Ovary.Ovary-AdenoCA,ENSG00000005483,ENST00000476671,KMT2E,1,110,0.01
Ovary.Ovary-AdenoCA,ENSG00000005421,ENST00000433729,PON1,1,110,0.01
Ovary.Ovary-AdenoCA,ENSG00000004897,ENST00000575483,CDC27,1,110,0.01
Liver.Liver-HCC,ENSG00000259207,ENST00000435993,ITGB3,1,100,0.01
Liver.Liver-HCC,ENSG00000254901,ENST00000488252,MEF2BNB,1,100,0.01
Liver.Liver-HCC,ENSG00000254827,ENST00000533594,SLC22A18AS,1,100,0.01
Liver.Liver-HCC,ENSG00000243147,ENST00000379666,MRPL33,1,100,0.01
Liver.Liver-HCC,ENSG00000228278,ENST00000412657,ORM2,1,100,0.01
Liver.Liver-HCC,ENSG00000214046,ENST00000593404,SMIM7,1,100,0.01
Liver.Liver-HCC,ENSG00000198728,ENST00000361198,LDB1,1,100,0.01
Liver.Liver-HCC,ENSG00000198382,ENST00000528264,UVRAG,1,100,0.01
Liver.Liver-HCC,ENSG00000198369,ENST00000427238,SPRED2,1,100,0.01
Liver.Liver-HCC,ENSG00000198265,ENST00000581159,HELZ,1,100,0.01
Liver.Liver-HCC,ENSG00000197976,ENST00000474361,AKAP17A,1,100,0.01
Liver.Liver-HCC,ENSG00000197594,ENST00000513998,ENPP1,1,100,0.01
Liver.Liver-HCC,ENSG00000197140,ENST00000437682,ADAM32,1,100,0.01
Liver.Liver-HCC,ENSG00000197140,ENST00000379907,ADAM32,1,100,0.01
Liver.Liver-HCC,ENSG00000189144,ENST00000589632,ZNF573,1,100,0.01
Liver.Liver-HCC,ENSG00000188958,ENST00000440476,UTS2B,1,100,0.01
Liver.Liver-HCC,ENSG00000188582,ENST00000492509,PAQR9,1,100,0.01
Liver.Liver-HCC,ENSG00000188312,ENST00000375576,CENPP,1,100,0.01
Liver.Liver-HCC,ENSG00000185201,ENST00000527146,IFITM2,1,100,0.01
Liver.Liver-HCC,ENSG00000184588,ENST00000491340,PDE4B,1,100,0.01
Liver.Liver-HCC,ENSG00000182199,ENST00000557529,SHMT2,1,100,0.01
Liver.Liver-HCC,ENSG00000182199,ENST00000556825,SHMT2,1,100,0.01
Liver.Liver-HCC,ENSG00000179528,ENST00000377566,LBX2,1,100,0.01
Liver.Liver-HCC,ENSG00000177459,ENST00000545282,C8orf47,1,100,0.01
Liver.Liver-HCC,ENSG00000177189,ENST00000540702,RPS6KA3,1,100,0.01
Liver.Liver-HCC,ENSG00000177138,ENST00000428477,FAM9B,1,100,0.01
Liver.Liver-HCC,ENSG00000177000,ENST00000431243,MTHFR,1,100,0.01
Liver.Liver-HCC,ENSG00000175984,ENST00000393274,DENND2C,1,100,0.01
Liver.Liver-HCC,ENSG00000175782,ENST00000431174,SLC35E3,1,100,0.01
Liver.Liver-HCC,ENSG00000175106,ENST00000521179,TVP23C,1,100,0.01
Liver.Liver-HCC,ENSG00000175106,ENST00000438826,TVP23C,1,100,0.01
Liver.Liver-HCC,ENSG00000174197,ENST00000219905,MGA,1,100,0.01
Liver.Liver-HCC,ENSG00000172955,ENST00000237653,ADH6,1,100,0.01
Liver.Liver-HCC,ENSG00000172782,ENST00000579663,FADS6,1,100,0.01
Liver.Liver-HCC,ENSG00000172062,ENST00000506163,SMN1,1,100,0.01
Liver.Liver-HCC,ENSG00000171557,ENST00000405164,FGG,1,100,0.01
Liver.Liver-HCC,ENSG00000170632,ENST00000454559,ARMC10,1,100,0.01
Liver.Liver-HCC,ENSG00000169604,ENST00000409829,ANTXR1,1,100,0.01
Liver.Liver-HCC,ENSG00000166669,ENST00000569900,ATF7IP2,1,100,0.01
Liver.Liver-HCC,ENSG00000165972,ENST00000549876,CCDC38,1,100,0.01
Liver.Liver-HCC,ENSG00000165795,ENST00000403829,NDRG2,1,100,0.01
Liver.Liver-HCC,ENSG00000165682,ENST00000398937,CLEC1B,1,100,0.01
Liver.Liver-HCC,ENSG00000165084,ENST00000521406,C8orf34,1,100,0.01
Liver.Liver-HCC,ENSG00000163812,ENST00000339420,ZDHHC3,1,100,0.01
Liver.Liver-HCC,ENSG00000163743,ENST00000380840,RCHY1,1,100,0.01
Liver.Liver-HCC,ENSG00000163331,ENST00000409042,DAPL1,1,100,0.01
Liver.Liver-HCC,ENSG00000163125,ENST00000369068,RPRD2,1,100,0.01
Liver.Liver-HCC,ENSG00000160868,ENST00000415003,CYP3A4,1,100,0.01
Liver.Liver-HCC,ENSG00000156990,ENST00000423108,RPUSD3,1,100,0.01
Liver.Liver-HCC,ENSG00000156650,ENST00000372725,KAT6B,1,100,0.01
Liver.Liver-HCC,ENSG00000156475,ENST00000504198,PPP2R2B,1,100,0.01
Liver.Liver-HCC,ENSG00000156453,ENST00000287008,PCDH1,1,100,0.01
Liver.Liver-HCC,ENSG00000156398,ENST00000459894,SFXN2,1,100,0.01
Liver.Liver-HCC,ENSG00000156170,ENST00000454358,NDUFAF6,1,100,0.01
Liver.Liver-HCC,ENSG00000155324,ENST00000542322,GRAMD3,1,100,0.01
Liver.Liver-HCC,ENSG00000154240,ENST00000317442,CEP112,1,100,0.01
Liver.Liver-HCC,ENSG00000153982,ENST00000581140,GDPD1,1,100,0.01
Liver.Liver-HCC,ENSG00000153944,ENST00000579590,MSI2,1,100,0.01
Liver.Liver-HCC,ENSG00000152056,ENST00000415298,AP1S3,1,100,0.01
Liver.Liver-HCC,ENSG00000149742,ENST00000310969,SLC22A9,1,100,0.01
Liver.Liver-HCC,ENSG00000148908,ENST00000392865,RGS10,1,100,0.01
Liver.Liver-HCC,ENSG00000148680,ENST00000371719,HTR7,1,100,0.01
Liver.Liver-HCC,ENSG00000147573,ENST00000315962,TRIM55,1,100,0.01
Liver.Liver-HCC,ENSG00000147255,ENST00000370900,IGSF1,1,100,0.01
Liver.Liver-HCC,ENSG00000146122,ENST00000405961,DAAM2,1,100,0.01
Liver.Liver-HCC,ENSG00000145730,ENST00000438793,PAM,1,100,0.01
Liver.Liver-HCC,ENSG00000145675,ENST00000523872,PIK3R1,1,100,0.01
Liver.Liver-HCC,ENSG00000141127,ENST00000460724,PRPSAP2,1,100,0.01
Liver.Liver-HCC,ENSG00000139631,ENST00000498635,CSAD,1,100,0.01
Liver.Liver-HCC,ENSG00000137713,ENST00000426998,PPP2R1B,1,100,0.01
Liver.Liver-HCC,ENSG00000137103,ENST00000377991,TMEM8B,1,100,0.01
Liver.Liver-HCC,ENSG00000137075,ENST00000350199,RNF38,1,100,0.01
Liver.Liver-HCC,ENSG00000136574,ENST00000335135,GATA4,1,100,0.01
Liver.Liver-HCC,ENSG00000135218,ENST00000534394,CD36,1,100,0.01
Liver.Liver-HCC,ENSG00000134389,ENST00000367414,CFHR5,1,100,0.01
Liver.Liver-HCC,ENSG00000129214,ENST00000575729,SHBG,1,100,0.01
Liver.Liver-HCC,ENSG00000128928,ENST00000491554,IVD,1,100,0.01
Liver.Liver-HCC,ENSG00000128567,ENST00000537928,PODXL,1,100,0.01
Liver.Liver-HCC,ENSG00000128567,ENST00000446198,PODXL,1,100,0.01
Liver.Liver-HCC,ENSG00000125149,ENST00000563853,C16orf70,1,100,0.01
Liver.Liver-HCC,ENSG00000124942,ENST00000257247,AHNAK,1,100,0.01
Liver.Liver-HCC,ENSG00000124772,ENST00000244751,CPNE5,1,100,0.01
Liver.Liver-HCC,ENSG00000122417,ENST00000462648,ODF2L,1,100,0.01
Liver.Liver-HCC,ENSG00000119121,ENST00000376871,TRPM6,1,100,0.01
Liver.Liver-HCC,ENSG00000118520,ENST00000356962,ARG1,1,100,0.01
Liver.Liver-HCC,ENSG00000117859,ENST00000435686,OSBPL9,1,100,0.01
Liver.Liver-HCC,ENSG00000117281,ENST00000235933,CD160,1,100,0.01
Liver.Liver-HCC,ENSG00000117139,ENST00000367265,KDM5B,1,100,0.01
Liver.Liver-HCC,ENSG00000116830,ENST00000427271,TTF2,1,100,0.01
Liver.Liver-HCC,ENSG00000115414,ENST00000357867,FN1,1,100,0.01
Liver.Liver-HCC,ENSG00000115318,ENST00000409549,LOXL3,1,100,0.01
Liver.Liver-HCC,ENSG00000114790,ENST00000465817,ARHGEF26,1,100,0.01
Liver.Liver-HCC,ENSG00000114786,ENST00000486081,ABHD14A-ACY1,1,100,0.01
Liver.Liver-HCC,ENSG00000114541,ENST00000489817,FRMD4B,1,100,0.01
Liver.Liver-HCC,ENSG00000111877,ENST00000316068,MCM9,1,100,0.01
Liver.Liver-HCC,ENSG00000111371,ENST00000552197,SLC38A1,1,100,0.01
Liver.Liver-HCC,ENSG00000111364,ENST00000421670,DDX55,1,100,0.01
Liver.Liver-HCC,ENSG00000110887,ENST00000551281,DAO,1,100,0.01
Liver.Liver-HCC,ENSG00000109099,ENST00000494511,PMP22,1,100,0.01
Liver.Liver-HCC,ENSG00000105662,ENST00000601916,CRTC1,1,100,0.01
Liver.Liver-HCC,ENSG00000104892,ENST00000470402,KLC3,1,100,0.01
Liver.Liver-HCC,ENSG00000103740,ENST00000557935,ACSBG1,1,100,0.01
Liver.Liver-HCC,ENSG00000101493,ENST00000542818,ZNF516,1,100,0.01
Liver.Liver-HCC,ENSG00000100852,ENST00000539826,ARHGAP5,1,100,0.01
Liver.Liver-HCC,ENSG00000100416,ENST00000453630,TRMU,1,100,0.01
Liver.Liver-HCC,ENSG00000093072,ENST00000399839,CECR1,1,100,0.01
Liver.Liver-HCC,ENSG00000091039,ENST00000261183,OSBPL8,1,100,0.01
Liver.Liver-HCC,ENSG00000081913,ENST00000400316,PHLPP1,1,100,0.01
